Player ID,The International 2017,China Dota2 Supermajor,The International 2015,The International 2016,Dota 2 Asia Championships 2015,The Manila Major 2016,The Frankfurt Major 2015,The International 2013,EPICENTER 2017,ESL One Manila 2016,Others
KuroKy,2172536,0,165866,0,0,0,0,126472,0,0,1275388
Miracle-,2172536,0,0,0,0,222000,222000,0,0,0,694837
MATUMBAMAN,2172536,111000,0,103852,0,0,0,0,0,0,690596
MinD_ContRoL,2172536,111000,0,103852,0,0,0,0,0,0,683851
UNiVeRsE,0,0,1326932,436179,256831,0,0,0,0,0,980542
SumaiL,0,0,1326932,436179,256831,0,0,0,0,0,700124
ppd,0,0,1326932,436179,256831,0,0,0,0,0,697676
GH,2172536,111000,0,0,0,0,0,0,50000,0,361653
Fear,0,0,1326932,436179,256831,0,0,0,0,0,467832
iceice,0,0,0,1827800,42805,0,0,0,0,20000,108026
